State,District,Market,Commodity,Date,Arrival_Quantity,Arrival_Unit,Modal_Price,Price_Unit
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,02-01-2024,14.19,Metric Tonnes,8000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,03-01-2024,11.48,Metric Tonnes,8000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,04-01-2024,15.16,Metric Tonnes,8000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,05-01-2024,9.75,Metric Tonnes,8000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,06-01-2024,6.77,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,07-01-2024,12.33,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,09-01-2024,10.04,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,10-01-2024,12.87,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,11-01-2024,9.79,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,12-01-2024,10.76,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,13-01-2024,13.1,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,14-01-2024,37.5,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,16-01-2024,22.19,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,17-01-2024,17.58,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,18-01-2024,11.87,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,19-01-2024,9.78,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,20-01-2024,9.02,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,21-01-2024,17.69,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,23-01-2024,31.34,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,24-01-2024,5.51,Metric Tonnes,7000,Rs./Quintal
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit) APMC,Apple,25-01-2024,13.51,Metric Tonnes,7000,Rs./Quintal
