State,District,Market,Commodity,Date,Arrival_Quantity,Arrival_Unit,Modal_Price,Price_Unit
Andhra Pradesh,Krishna,Kanchekacherla APMC,Cotton,12-12-2024,14.64,Metric Tonnes,7413,Rs./Quintal
Andhra Pradesh,Krishna,Kanchekacherla APMC,Cotton,17-12-2024,38.83,Metric Tonnes,7346,Rs./Quintal
Andhra Pradesh,Krishna,Kanchekacherla APMC,Cotton,20-12-2024,14.24,Metric Tonnes,7338,Rs./Quintal
Andhra Pradesh,Krishna,Kanchekacherla APMC,Cotton,24-12-2024,10.58,Metric Tonnes,7363,Rs./Quintal
Andhra Pradesh,Krishna,Kanchekacherla APMC,Cotton,26-12-2024,14.97,Metric Tonnes,7346,Rs./Quintal
Andhra Pradesh,Krishna,Kanchekacherla APMC,Cotton,31-12-2024,23.31,Metric Tonnes,7363,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,10-04-2024,60,Metric Tonnes,6860,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,12-04-2024,340,Metric Tonnes,6860,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,13-04-2024,230,Metric Tonnes,6980,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,14-04-2024,79,Metric Tonnes,7000,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,15-04-2024,156,Metric Tonnes,7000,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,16-04-2024,119,Metric Tonnes,6950,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,19-04-2024,40,Metric Tonnes,6950,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,20-04-2024,45,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,21-04-2024,650,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,22-04-2024,46,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,23-04-2024,66,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,24-04-2024,55,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,25-04-2024,78,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,26-04-2024,65,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,27-04-2024,66,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,02-05-2024,65,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,03-05-2024,46,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,04-05-2024,71,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,06-05-2024,350,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,07-05-2024,32,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,08-05-2024,63,Metric Tonnes,6800,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,09-05-2024,40,Metric Tonnes,6840,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,10-05-2024,36,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,14-05-2024,60,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,15-05-2024,45,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,16-05-2024,65,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,17-05-2024,28,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,18-05-2024,23.5,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,19-05-2024,23,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,20-05-2024,65,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,24-05-2024,600,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,25-05-2024,65,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,26-05-2024,80,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,27-05-2024,160,Metric Tonnes,6875,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,28-05-2024,50,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,29-05-2024,44,Metric Tonnes,6860,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,30-05-2024,56,Metric Tonnes,6860,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,31-05-2024,64,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,01-06-2024,65,Metric Tonnes,6850,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,24-06-2024,10,Metric Tonnes,6950,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,25-06-2024,19,Metric Tonnes,6950,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,26-06-2024,100,Metric Tonnes,6950,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,01-07-2024,10.8,Metric Tonnes,6950,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,26-09-2024,25,Metric Tonnes,7300,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,22-10-2024,25,Metric Tonnes,7300,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,23-10-2024,23,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,25-10-2024,60,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,26-10-2024,112,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,27-10-2024,90,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,28-10-2024,95,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,29-10-2024,120,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,01-11-2024,210,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,02-11-2024,250,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,07-11-2024,216,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,08-11-2024,250,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,11-11-2024,842,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,12-11-2024,160,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,19-11-2024,156,Metric Tonnes,7250,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,20-11-2024,143,Metric Tonnes,7300,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,22-11-2024,250,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,23-11-2024,210,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,24-11-2024,225,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,25-11-2024,300,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,26-11-2024,210,Metric Tonnes,7300,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,27-11-2024,250,Metric Tonnes,7300,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,28-11-2024,216,Metric Tonnes,7350,Rs./Quintal
Andhra Pradesh,Krishna,Tiruvuru APMC,Cotton,29-11-2024,251,Metric Tonnes,7300,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,02-01-2024,2284,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,03-01-2024,1520,Metric Tonnes,6921,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,04-01-2024,1998,Metric Tonnes,6979,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,05-01-2024,2176,Metric Tonnes,6989,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,06-01-2024,1932,Metric Tonnes,6981,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,08-01-2024,3262,Metric Tonnes,6998,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,09-01-2024,2944,Metric Tonnes,6981,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,10-01-2024,1859,Metric Tonnes,6959,Rs./Quintal
