State,District,Market,Commodity,Date,Arrival_Quantity,Arrival_Unit,Modal_Price,Price_Unit
Kerala,Idukki,Kattappana APMC,Rubber,06-08-2024,4.8,Metric Tonnes,20000,Rs./Quintal
Kerala,Idukki,Kattappana APMC,Rubber,29-10-2024,1.1,Metric Tonnes,20000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,01-01-2024,1,Metric Tonnes,14700,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,04-01-2024,1,Metric Tonnes,14700,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,05-01-2024,1,Metric Tonnes,14700,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,06-01-2024,1,Metric Tonnes,14700,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,08-01-2024,1,Metric Tonnes,14700,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,10-01-2024,1,Metric Tonnes,14750,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,11-01-2024,1,Metric Tonnes,14750,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,12-01-2024,1,Metric Tonnes,14700,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,15-01-2024,1,Metric Tonnes,14700,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,17-01-2024,1,Metric Tonnes,14900,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,18-01-2024,1,Metric Tonnes,14900,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,19-01-2024,1,Metric Tonnes,14900,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,20-01-2024,1,Metric Tonnes,14900,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,22-01-2024,1,Metric Tonnes,14900,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,24-01-2024,1,Metric Tonnes,14900,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,25-01-2024,1,Metric Tonnes,14900,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,27-01-2024,1,Metric Tonnes,14900,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,29-01-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,30-01-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,31-01-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,01-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,02-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,03-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,05-02-2024,1,Metric Tonnes,15200,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,06-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,07-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,08-02-2024,1,Metric Tonnes,15200,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,09-02-2024,1,Metric Tonnes,15200,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,10-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,14-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,15-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,16-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,17-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,19-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,20-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,21-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,22-02-2024,1,Metric Tonnes,15250,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,23-02-2024,1,Metric Tonnes,15200,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,24-02-2024,1,Metric Tonnes,15000,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,26-02-2024,1,Metric Tonnes,15200,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,27-02-2024,1,Metric Tonnes,15300,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,28-02-2024,1,Metric Tonnes,15300,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,29-02-2024,1,Metric Tonnes,15300,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,01-03-2024,1,Metric Tonnes,15300,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,02-03-2024,1,Metric Tonnes,15300,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,04-03-2024,1,Metric Tonnes,15300,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,05-03-2024,1,Metric Tonnes,15300,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,06-03-2024,1,Metric Tonnes,14800,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,07-03-2024,1,Metric Tonnes,15300,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,11-03-2024,1,Metric Tonnes,15600,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,12-03-2024,1,Metric Tonnes,15600,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,14-03-2024,1,Metric Tonnes,15600,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,15-03-2024,1,Metric Tonnes,15600,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,16-03-2024,1,Metric Tonnes,15600,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,18-03-2024,1,Metric Tonnes,17400,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,19-03-2024,1,Metric Tonnes,17400,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,20-03-2024,1,Metric Tonnes,17400,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,21-03-2024,1,Metric Tonnes,17400,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,23-03-2024,1,Metric Tonnes,17400,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,25-03-2024,1,Metric Tonnes,16800,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,26-03-2024,1,Metric Tonnes,16800,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,27-03-2024,1,Metric Tonnes,16800,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,30-03-2024,50,Metric Tonnes,16800,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,01-04-2024,1,Metric Tonnes,16800,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,03-04-2024,1,Metric Tonnes,16750,Rs./Quintal
Kerala,Idukki,Thodupuzha APMC,Rubber,04-04-2024,1,Metric Tonnes,16800,Rs./Quintal
