State,District,Market,Commodity,Date,Arrival_Quantity,Arrival_Unit,Modal_Price,Price_Unit
Bihar,Madhubani,Jainagar APMC,Wheat,17-07-2025,8,Metric Tonnes,2700,Rs./Quintal
Bihar,Madhubani,Jainagar APMC,Wheat,18-07-2025,8,Metric Tonnes,2700,Rs./Quintal
Bihar,Madhubani,Jainagar APMC,Wheat,26-08-2025,8,Metric Tonnes,2700,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,15-04-2025,400,Metric Tonnes,2640,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,16-04-2025,400,Metric Tonnes,2650,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,17-04-2025,450,Metric Tonnes,2630,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,19-04-2025,400,Metric Tonnes,2630,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,21-04-2025,420,Metric Tonnes,2650,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,22-04-2025,240,Metric Tonnes,2500,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,25-04-2025,300,Metric Tonnes,2530,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,26-04-2025,450,Metric Tonnes,2560,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,04-05-2025,450,Metric Tonnes,2560,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,06-05-2025,400,Metric Tonnes,2550,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,07-05-2025,420,Metric Tonnes,2580,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,08-05-2025,400,Metric Tonnes,2580,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,10-05-2025,300,Metric Tonnes,2600,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,12-05-2025,450,Metric Tonnes,2560,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,13-05-2025,400,Metric Tonnes,2430,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,14-05-2025,400,Metric Tonnes,2490,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,15-05-2025,400,Metric Tonnes,2450,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,16-05-2025,350,Metric Tonnes,2400,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,17-05-2025,320,Metric Tonnes,2400,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,19-05-2025,350,Metric Tonnes,2410,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,21-05-2025,350,Metric Tonnes,2400,Rs./Quintal
