State,District,Market,Commodity,Date,Arrival_Quantity,Arrival_Unit,Modal_Price,Price_Unit
Bihar,Madhubani,Jainagar APMC,Wheat,05-06-2024,7.5,Metric Tonnes,2600,Rs./Quintal
Bihar,Madhubani,Jainagar APMC,Wheat,23-06-2024,7,Metric Tonnes,2600,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,17-04-2024,170,Metric Tonnes,2200,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,18-04-2024,180,Metric Tonnes,2200,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,19-04-2024,200,Metric Tonnes,2300,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,20-04-2024,220,Metric Tonnes,2300,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,21-04-2024,160,Metric Tonnes,2280,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,22-04-2024,180,Metric Tonnes,2300,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,23-04-2024,200,Metric Tonnes,2330,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,24-04-2024,210,Metric Tonnes,2340,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,25-04-2024,230,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,26-04-2024,240,Metric Tonnes,2350,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,27-04-2024,240,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,29-04-2024,250,Metric Tonnes,2350,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,30-04-2024,270,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,01-05-2024,300,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,03-05-2024,280,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,04-05-2024,290,Metric Tonnes,2365,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,06-05-2024,300,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,07-05-2024,320,Metric Tonnes,2370,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,08-05-2024,300,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,09-05-2024,100,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,10-05-2024,300,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,11-05-2024,250,Metric Tonnes,2060,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,12-05-2024,210,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,13-05-2024,219,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,14-05-2024,210,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,15-05-2024,220,Metric Tonnes,2355,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,16-05-2024,220,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,17-05-2024,230,Metric Tonnes,2370,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,20-05-2024,250,Metric Tonnes,2370,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,21-05-2024,230,Metric Tonnes,2380,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,22-05-2024,240,Metric Tonnes,2365,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,23-05-2024,260,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,25-05-2024,250,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,28-05-2024,300,Metric Tonnes,2440,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,29-05-2024,330,Metric Tonnes,2350,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,30-05-2024,275,Metric Tonnes,2450,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,01-06-2024,260,Metric Tonnes,2460,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,02-06-2024,290,Metric Tonnes,2460,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,03-06-2024,300,Metric Tonnes,2460,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,06-06-2024,200,Metric Tonnes,2450,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,11-06-2024,230,Metric Tonnes,2375,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,13-06-2024,240,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,15-06-2024,240,Metric Tonnes,2360,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,24-06-2024,200,Metric Tonnes,2460,Rs./Quintal
Bihar,Muzaffarpur,Muzaffarpur APMC,Wheat,27-06-2024,230,Metric Tonnes,2470,Rs./Quintal
